2, وَرَجَّحَ التَّقْرِيرُ الَّذِي أَعَدَّهُ مَعْهَدُ أَبْحَاثِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ - أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَذَا الْقَرْنْ
3, مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ
4, وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ - لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ
5, بَيْنَهَا نَهْرَا يَلُو وَيَانْغْتسِي - فِي الصِّينْ
6, وَفِي الشَّوْطِ الثَّانِي اسْتَعَادَ بَارِيسُ سَانْ جِيْرَمانُ مُسْتَوَاهُ وَحَقَّقَ التَّعَادُلَ عَنْ طَرِيقِ ابْرَاهِيمُوفِيتْش - مِنْ تَسْدِيدَةٍ اسْتَعْصَتْ عَلَى الْحَارِسْ
7, يَتَمَثَّلُ الْإِبْدَاعُ الْفَنِّيُّ وَالْحَضَارِيُّ الَّذِي يَكْشِفُ عَنْهُ الْمَعْرِضُ فِي تُحَفٍ كَثِيرَةٍ - مُتَنَوِّعَةٍ شَمِلَتْ عَشَرَاتِ الْأَزْيَاءِ الَّتِي نُسِجَتْ بِأَنَامِلَ ذَهَبِيَّةٍ - عَكَسَتْ سِحْرَ وَبَهَاءَ التَّطْرِيزِ بِالْحَرِيرِ وَمَوَادَّ أُخْرَى
8, إِضَافَةً إِلَى عَرْضِ أَنْوَاعٍ عَدِيدَةٍ مِنَ الْأَثَاثِ الْمُزَخْرَفِ وَالصَّنَادِيقِ وَالْأَوَانِي وَالْأَدَوَاتِ - وَالْأَغْطِيَةِ وَاللَّوْحَاتِ الْفَنِّيَّةِ الْعَاكِسَةِ لِتِقْنِيَّاتٍ مُدْهِشَةٍ - تُجَسِّدُ مَهَارَاتٍ حِرَفِيَّةً عَرَفَتْهَا الْأَنْدُلُسْ
9, يَخْتَلِفُ الْهَاتِفُ الزَّكِيُّ عَنِ الْهَاتِفِ التَّقْلِيدِيِّ فِي أَنَّهُ يُقَدِّمُ عَدَداً مِنْ وَظَائِفِ الْحَوْسَبَةِ الْمُتَطَوِّرَةِ - وَقُدُرَاتِ الْإِتِّصَالِ الْمُتَقَدِّمَةِ - إِلَى جَانِبِ وَظَائِفِ الْهَاتِفِ التَّقْلِيدِيَّةِ الْأُخْرَى
10, وَكَامِرَاتِ التَّصْوِيرِ الْمُدْمَجَةِ ذَاتِ الدِّقَّةِ الْعَالِيَةِ
11, وَالْمُعَالِجَاتِ الثُّنَائِيَّةِ وَالرُّبَاعِيَّةِ النَّوَى
12, وَحَالَةِ الْإِسْتِقْطَابِ السِّيَاسِيِّ الْحَادِّ
13, لِيَتَمَكَّنَ الْقَارِئُ مِنْ مُتَابَعَةِ تَطَوُّرِ الْقِصَّةِ الْخَبَرِيَّةِ بِشَكْلٍ سَلِسٍ وَفَعَّالٍ
14, وَمِنْهَا أَيْضاً - أَلدَّعْمُ الْمُتَقَدِّمُ لِلْأَرْشَفَةِ
15, وَيَأْتِي التَّصْمِيمُ الْمُطَوَّرُ لِمَوْقِعِ الْجَزِيرَةِ نِتْ وِفْقاً لِمَفْهُومِ الْبَسَاطَةِ وَالتَّرْكِيزِ عَلَى أَوْلَوِيَّةِ الْمُحْتَوَى
16, وَتَمَّ التَّرْكِيزُ أَيْضاً عَلَى مَفْهُومِ تَسْهِيلِ الْقِرَاءَةِ بِاخْتِيَارِ خُطُوطٍ مُلَائِمَةٍ
17, كَمَا تَسْمَحُ الْقَوَائِمُ الْمُنْسَدِلَةُ فِي أَعْلَى الصَّفْحَةِ بِتَقْسِيمِ الْعَنَاصِرِ إِلَى أَرْبَعِ بَوَّابَاتٍ رَئِيسِيَّةٍ - هِيَ الْأَخْبَارُ وَالْمَعْرِفَةُ وَالْبَرَامِجُ وَالتَّعْلِيمْ
18, خَسِرَ الْمُنْتَخَبُ الْمِصْرِيُّ أَمْسِ أَمَامَ مُضِيفِهِ السَّنِغَالِيِّ بِهَدَفَيْنِ دُونَ رَدٍّ - فِي افْتِتَاحِ مُنَافَسَاتِ الْمَجْمُوعَةِ السَّابِعَةِ لِلتَّصْفِيَاتِ الْمُؤَهِّلَةِ - إِلَى كَأْسِ الْأُمَمِ الْأَفْرِيقِيَّةِ لِكُرَةِ الْقَدَمْ
19, وَسادْيُو مَانِي فِي الدَّقِيقَتَيْنِ السّابِعَةَ عَشْرَةَ - وَ الْخَامِسَةَ وَالْأَرْبعينَ مِنَ الشَّوْطِ الْأَوَّلِ لِلْمُبَارَاةِ
20, وَبِهَذِهِ النَّتِيجَةِ تَتَصَدَّرُ السِّنِغَالُ مَجْمُوعَتَهَا بِرَصِيدِ ثَلاثِ نِقَاطٍ وَهَدَفَيْنِ نَظِيفَيْنْ
21, دَعَتِ الْوِلَايَاتُ الْمُتَّحِدَةُ إِسْرائيلَ إِلَى التَّراجُعِ عَنْ قَرَارِها بِمُصادَرَةِ أَرْبَعَ مِئَةِ هِكْتارٍ - مِنْ أَراضِي الضِّفَةِ الْغَرْبيَّةِ
